         ;0
O OX O X ;1353
 XOX O X ;1354
OXOX O X ;1355
 OOX O X ;1356
XOOX O X ;1357
   O O X ;1358
X  O O X ;1359
 X O O X ;1360
XX O O X ;1361
OX O O X ;1362
XO O O X ;1363
  XO O X ;1364
X XO O X ;1365
O XO O X ;1366
 XXO O X ;1367
OXXO O X ;1368
 OXO O X ;1369
XOXO O X ;1370
X OO O X ;1371
 XOO O X ;1372
XXOO O X ;1373
    XO X ;1374
O   XO X ;1375
OX  XO X ;1376
 O  XO X ;1377
XO  XO X ;1378
OO  XO X ;1379
O X XO X ;1380
 OX XO X ;1381
OOX XO X ;1382
  O XO X ;1383
X O XO X ;1384
O O XO X ;1385
 XO XO X ;1386
OXO XO X ;1387
 OO XO X ;1388
XOO XO X ;1389
O  XXO X ;1390
 O XXO X ;1391
OO XXO X ;1392
OOXXXO X ;1393
  OXXO X ;1394
O OXXO X ;1395
OXOXXO X ;1396
 OOXXO X ;1397
XOOXXO X ;1398
OOOXXO X ;1399
   OXO X ;1400
X  OXO X ;1401
O  OXO X ;1402
 X OXO X ;1403
OX OXO X ;1404
 O OXO X ;1405
XO OXO X ;1406
  XOXO X ;1407
O XOXO X ;1408
OXXOXO X ;1409
 OXOXO X ;1410
XOXOXO X ;1411
OOXOXO X ;1412
  OOXO X ;1413
X OOXO X ;1414
 XOOXO X ;1415
XXOOXO X ;1416
OXOOXO X ;1417
XOOOXO X ;1418
    OO X ;1419
X   OO X ;1420
 X  OO X ;1421
XX  OO X ;1422
OX  OO X ;1423
XO  OO X ;1424
  X OO X ;1425
X X OO X ;1426
O X OO X ;1427
 XX OO X ;1428
OXX OO X ;1429
 OX OO X ;1430
XOX OO X ;1431
X O OO X ;1432
 XO OO X ;1433
XXO OO X ;1434
   XOO X ;1435
X  XOO X ;1436
O  XOO X ;1437
 X XOO X ;1438
OX XOO X ;1439
 O XOO X ;1440
XO XOO X ;1441
  XXOO X ;1442
O XXOO X ;1443
OXXXOO X ;1444
 OXXOO X ;1445
XOXXOO X ;1446
OOXXOO X ;1447
  OXOO X ;1448
X OXOO X ;1449
 XOXOO X ;1450
XXOXOO X ;1451
OXOXOO X ;1452
XOOXOO X ;1453
X  OOO X ;1454
 X OOO X ;1455
XX OOO X ;1456
  XOOO X ;1457
X XOOO X ;1458
 XXOOO X ;1459
XXXOOO X ;1460
OXXOOO X ;1461
XOXOOO X ;1462
XXOOOO X ;1463
O     XX ;1464
 O    XX ;1465
OO    XX ;1466
OOX   XX ;1467
  O   XX ;1468
O O   XX ;1469
OXO   XX ;1470
 OO   XX ;1471
XOO   XX ;1472
OOO   XX ;1473
OO X  XX ;1474
O OX  XX ;1475
 OOX  XX ;1476
OOOX  XX ;1477
   O  XX ;1478
O  O  XX ;1479
OX O  XX ;1480
 O O  XX ;1481
XO O  XX ;1482
OO O  XX ;1483
O XO  XX ;1484
 OXO  XX ;1485
OOXO  XX ;1486
  OO  XX ;1487
X OO  XX ;1488
O OO  XX ;1489
 XOO  XX ;1490
OXOO  XX ;1491
 OOO  XX ;1492
XOOO  XX ;1493
OO  X XX ;1494
O O X XX ;1495
 OO X XX ;1496
OOO X XX ;1497
OOOXX XX ;1498
O  OX XX ;1499
 O OX XX ;1500
OO OX XX ;1501
OOXOX XX ;1502
  OOX XX ;1503
O OOX XX ;1504
OXOOX XX ;1505
 OOOX XX ;1506
XOOOX XX ;1507
OOOOX XX ;1508
    O XX ;1509
O   O XX ;1510
OX  O XX ;1511
 O  O XX ;1512
XO  O XX ;1513
OO  O XX ;1514
O X O XX ;1515
 OX O XX ;1516
OOX O XX ;1517
  O O XX ;1518
X O O XX ;1519
O O O XX ;1520
 XO O XX ;1521
OXO O XX ;1522
 OO O XX ;1523
XOO O XX ;1524
O  XO XX ;1525
 O XO XX ;1526
OO XO XX ;1527
OOXXO XX ;1528
  OXO XX ;1529
O OXO XX ;1530
OXOXO XX ;1531
 OOXO XX ;1532
XOOXO XX ;1533
OOOXO XX ;1534
   OO XX ;1535
X  OO XX ;1536
O  OO XX ;1537
 X OO XX ;1538
OX OO XX ;1539
 O OO XX ;1540
XO OO XX ;1541
  XOO XX ;1542
O XOO XX ;1543
OXXOO XX ;1544
 OXOO XX ;1545
XOXOO XX ;1546
OOXOO XX ;1547
  OOO XX ;1548
X OOO XX ;1549
 XOOO XX ;1550
XXOOO XX ;1551
OXOOO XX ;1552
XOOOO XX ;1553
OO   XXX ;1554
O O  XXX ;1555
 OO  XXX ;1556
OOO  XXX ;1557
OOOX XXX ;1558
O  O XXX ;1559
 O O XXX ;1560
OO O XXX ;1561
OOXO XXX ;1562
  OO XXX ;1563
O OO XXX ;1564
OXOO XXX ;1565
 OOO XXX ;1566
XOOO XXX ;1567
OOOO XXX ;1568
OOO XXXX ;1569
OO OXXXX ;1570
O OOXXXX ;1571
 OOOXXXX ;1572
OOOOXXXX ;1573
O   OXXX ;1574
 O  OXXX ;1575
OO  OXXX ;1576
OOX OXXX ;1577
  O OXXX ;1578
O O OXXX ;1579
OXO OXXX ;1580
 OO OXXX ;1581
XOO OXXX ;1582
OOO OXXX ;1583
OO XOXXX ;1584
O OXOXXX ;1585
 OOXOXXX ;1586
OOOXOXXX ;1587
   OOXXX ;1588
O  OOXXX ;1589
OX OOXXX ;1590
 O OOXXX ;1591
XO OOXXX ;1592
OO OOXXX ;1593
O XOOXXX ;1594
 OXOOXXX ;1595
OOXOOXXX ;1596
  OOOXXX ;1597
X OOOXXX ;1598
O OOOXXX ;1599
 XOOOXXX ;1600
OXOOOXXX ;1601
 OOOOXXX ;1602
XOOOOXXX ;1603
     OXX ;1604
O    OXX ;1605
OX   OXX ;1606
 O   OXX ;1607
XO   OXX ;1608
OO   OXX ;1609
O X  OXX ;1610
 OX  OXX ;1611
OOX  OXX ;1612
  O  OXX ;1613
X O  OXX ;1614
O O  OXX ;1615
 XO  OXX ;1616
OXO  OXX ;1617
 OO  OXX ;1618
XOO  OXX ;1619
O  X OXX ;1620
 O X OXX ;1621
OO X OXX ;1622
OOXX OXX ;1623
  OX OXX ;1624
O OX OXX ;1625
OXOX OXX ;1626
 OOX OXX ;1627
XOOX OXX ;1628
OOOX OXX ;1629
   O OXX ;1630
X  O OXX ;1631
O  O OXX ;1632
 X O OXX ;1633
OX O OXX ;1634
 O O OXX ;1635
XO O OXX ;1636
  XO OXX ;1637
O XO OXX ;1638
OXXO OXX ;1639
 OXO OXX ;1640
XOXO OXX ;1641
OOXO OXX ;1642
  OO OXX ;1643
X OO OXX ;1644
 XOO OXX ;1645
XXOO OXX ;1646
OXOO OXX ;1647
XOOO OXX ;1648
O   XOXX ;1649
 O  XOXX ;1650
OO  XOXX ;1651
OOX XOXX ;1652
  O XOXX ;1653
O O XOXX ;1654
OXO XOXX ;1655
 OO XOXX ;1656
XOO XOXX ;1657
OOO XOXX ;1658
OO XXOXX ;1659
O OXXOXX ;1660
 OOXXOXX ;1661
OOOXXOXX ;1662
   OXOXX ;1663
O  OXOXX ;1664
OX OXOXX ;1665
 O OXOXX ;1666
XO OXOXX ;1667
OO OXOXX ;1668
O XOXOXX ;1669
 OXOXOXX ;1670
OOXOXOXX ;1671
  OOXOXX ;1672
X OOXOXX ;1673
O OOXOXX ;1674
 XOOXOXX ;1675
OXOOXOXX ;1676
 OOOXOXX ;1677
XOOOXOXX ;1678
    OOXX ;1679
X   OOXX ;1680
O   OOXX ;1681
 X  OOXX ;1682
OX  OOXX ;1683
 O  OOXX ;1684
XO  OOXX ;1685
  X OOXX ;1686
O X OOXX ;1687
OXX OOXX ;1688
 OX OOXX ;1689
XOX OOXX ;1690
OOX OOXX ;1691
  O OOXX ;1692
X O OOXX ;1693
 XO OOXX ;1694
XXO OOXX ;1695
OXO OOXX ;1696
XOO OOXX ;1697
   XOOXX ;1698
O  XOOXX ;1699
OX XOOXX ;1700
 O XOOXX ;1701
XO XOOXX ;1702
OO XOOXX ;1703
O XXOOXX ;1704
 OXXOOXX ;1705
OOXXOOXX ;1706
  OXOOXX ;1707
X OXOOXX ;1708
O OXOOXX ;1709
 XOXOOXX ;1710
OXOXOOXX ;1711
 OOXOOXX ;1712
XOOXOOXX ;1713
   OOOXX ;1714
X  OOOXX ;1715
 X OOOXX ;1716
XX OOOXX ;1717
OX OOOXX ;1718
XO OOOXX ;1719
  XOOOXX ;1720
X XOOOXX ;1721
O XOOOXX ;1722
 XXOOOXX ;1723
OXXOOOXX ;1724
 OXOOOXX ;1725
XOXOOOXX ;1726
X OOOOXX ;1727
 XOOOOXX ;1728
XXOOOOXX ;1729
      OX ;1730
X     OX ;1731
O     OX ;1732
 X    OX ;1733
OX    OX ;1734
 O    OX ;1735
XO    OX ;1736
  X   OX ;1737
O X   OX ;1738
OXX   OX ;1739
 OX   OX ;1740
XOX   OX ;1741
OOX   OX ;1742
  O   OX ;1743
X O   OX ;1744
 XO   OX ;1745
XXO   OX ;1746
OXO   OX ;1747
XOO   OX ;1748
   X  OX ;1749
O  X  OX ;1750
OX X  OX ;1751
 O X  OX ;1752
XO X  OX ;1753
OO X  OX ;1754
O XX  OX ;1755
 OXX  OX ;1756
OOXX  OX ;1757
  OX  OX ;1758
X OX  OX ;1759
O OX  OX ;1760
 XOX  OX ;1761
OXOX  OX ;1762
 OOX  OX ;1763
XOOX  OX ;1764
   O  OX ;1765
X  O  OX ;1766
 X O  OX ;1767
XX O  OX ;1768
OX O  OX ;1769
XO O  OX ;1770
  XO  OX ;1771
X XO  OX ;1772
O XO  OX ;1773
 XXO  OX ;1774
OXXO  OX ;1775
 OXO  OX ;1776
XOXO  OX ;1777
X OO  OX ;1778
 XOO  OX ;1779
XXOO  OX ;1780
    X OX ;1781
O   X OX ;1782
OX  X OX ;1783
 O  X OX ;1784
XO  X OX ;1785
OO  X OX ;1786
O X X OX ;1787
 OX X OX ;1788
OOX X OX ;1789
  O X OX ;1790
X O X OX ;1791
O O X OX ;1792
 XO X OX ;1793
OXO X OX ;1794
 OO X OX ;1795
XOO X OX ;1796
O  XX OX ;1797
 O XX OX ;1798
OO XX OX ;1799
OOXXX OX ;1800
  OXX OX ;1801
O OXX OX ;1802
OXOXX OX ;1803
 OOXX OX ;1804
XOOXX OX ;1805
OOOXX OX ;1806
   OX OX ;1807
X  OX OX ;1808
O  OX OX ;1809
 X OX OX ;1810
OX OX OX ;1811
 O OX OX ;1812
XO OX OX ;1813
  XOX OX ;1814
O XOX OX ;1815
OXXOX OX ;1816
 OXOX OX ;1817
XOXOX OX ;1818
OOXOX OX ;1819
  OOX OX ;1820
X OOX OX ;1821
 XOOX OX ;1822
XXOOX OX ;1823
OXOOX OX ;1824
XOOOX OX ;1825
    O OX ;1826
X   O OX ;1827
 X  O OX ;1828
XX  O OX ;1829
OX  O OX ;1830
XO  O OX ;1831
  X O OX ;1832
X X O OX ;1833
O X O OX ;1834
 XX O OX ;1835
OXX O OX ;1836
 OX O OX ;1837
XOX O OX ;1838
X O O OX ;1839
 XO O OX ;1840
XXO O OX ;1841
   XO OX ;1842
X  XO OX ;1843
O  XO OX ;1844
 X XO OX ;1845
OX XO OX ;1846
 O XO OX ;1847
XO XO OX ;1848
  XXO OX ;1849
O XXO OX ;1850
OXXXO OX ;1851
 OXXO OX ;1852
XOXXO OX ;1853
OOXXO OX ;1854
  OXO OX ;1855
X OXO OX ;1856
 XOXO OX ;1857
XXOXO OX ;1858
OXOXO OX ;1859
XOOXO OX ;1860
X  OO OX ;1861
 X OO OX ;1862
XX OO OX ;1863
  XOO OX ;1864
X XOO OX ;1865
 XXOO OX ;1866
XXXOO OX ;1867
OXXOO OX ;1868
XOXOO OX ;1869
XXOOO OX ;1870
     XOX ;1871
O    XOX ;1872
OX   XOX ;1873
 O   XOX ;1874
XO   XOX ;1875
OO   XOX ;1876
O X  XOX ;1877
 OX  XOX ;1878
OOX  XOX ;1879
  O  XOX ;1880
X O  XOX ;1881
O O  XOX ;1882
 XO  XOX ;1883
OXO  XOX ;1884
 OO  XOX ;1885
XOO  XOX ;1886
O  X XOX ;1887
 O X XOX ;1888
OO X XOX ;1889
OOXX XOX ;1890
  OX XOX ;1891
O OX XOX ;1892
OXOX XOX ;1893
 OOX XOX ;1894
XOOX XOX ;1895
OOOX XOX ;1896
   O XOX ;1897
X  O XOX ;1898
O  O XOX ;1899
 X O XOX ;1900
OX O XOX ;1901
 O O XOX ;1902
XO O XOX ;1903
  XO XOX ;1904
O XO XOX ;1905
OXXO XOX ;1906
 OXO XOX ;1907
XOXO XOX ;1908
OOXO XOX ;1909
  OO XOX ;1910
X OO XOX ;1911
 XOO XOX ;1912
XXOO XOX ;1913
OXOO XOX ;1914
XOOO XOX ;1915
O   XXOX ;1916
 O  XXOX ;1917
OO  XXOX ;1918
OOX XXOX ;1919
  O XXOX ;1920
O O XXOX ;1921
OXO XXOX ;1922
 OO XXOX ;1923
XOO XXOX ;1924
OOO XXOX ;1925
OO XXXOX ;1926
O OXXXOX ;1927
 OOXXXOX ;1928
OOOXXXOX ;1929
   OXXOX ;1930
O  OXXOX ;1931
OX OXXOX ;1932
 O OXXOX ;1933
XO OXXOX ;1934
OO OXXOX ;1935
O XOXXOX ;1936
 OXOXXOX ;1937
OOXOXXOX ;1938
  OOXXOX ;1939
X OOXXOX ;1940
O OOXXOX ;1941
 XOOXXOX ;1942
OXOOXXOX ;1943
 OOOXXOX ;1944
XOOOXXOX ;1945
    OXOX ;1946
X   OXOX ;1947
O   OXOX ;1948
 X  OXOX ;1949
OX  OXOX ;1950
 O  OXOX ;1951
XO  OXOX ;1952
  X OXOX ;1953
O X OXOX ;1954
OXX OXOX ;1955
 OX OXOX ;1956
XOX OXOX ;1957
OOX OXOX ;1958
  O OXOX ;1959
X O OXOX ;1960
 XO OXOX ;1961
XXO OXOX ;1962
OXO OXOX ;1963
XOO OXOX ;1964
   XOXOX ;1965
O  XOXOX ;1966
OX XOXOX ;1967
 O XOXOX ;1968
XO XOXOX ;1969
OO XOXOX ;1970
O XXOXOX ;1971
 OXXOXOX ;1972
OOXXOXOX ;1973
  OXOXOX ;1974
X OXOXOX ;1975
O OXOXOX ;1976
 XOXOXOX ;1977
OXOXOXOX ;1978
 OOXOXOX ;1979
XOOXOXOX ;1980
   OOXOX ;1981
X  OOXOX ;1982
 X OOXOX ;1983
XX OOXOX ;1984
OX OOXOX ;1985
XO OOXOX ;1986
  XOOXOX ;1987
X XOOXOX ;1988
O XOOXOX ;1989
 XXOOXOX ;1990
OXXOOXOX ;1991
 OXOOXOX ;1992
XOXOOXOX ;1993
X OOOXOX ;1994
 XOOOXOX ;1995
XXOOOXOX ;1996
     OOX ;1997
X    OOX ;1998
 X   OOX ;1999
XX   OOX ;2000
OX   OOX ;2001
XO   OOX ;2002
  X  OOX ;2003
X X  OOX ;2004
O X  OOX ;2005
 XX  OOX ;2006
OXX  OOX ;2007
 OX  OOX ;2008
XOX  OOX ;2009
X O  OOX ;2010
 XO  OOX ;2011
XXO  OOX ;2012
   X OOX ;2013
X  X OOX ;2014
O  X OOX ;2015
 X X OOX ;2016
OX X OOX ;2017
 O X OOX ;2018
XO X OOX ;2019
  XX OOX ;2020
O XX OOX ;2021
OXXX OOX ;2022
 OXX OOX ;2023
XOXX OOX ;2024
OOXX OOX ;2025
  OX OOX ;2026
X OX OOX ;2027
 XOX OOX ;2028
XXOX OOX ;2029
OXOX OOX ;2030
XOOX OOX ;2031
X  O OOX ;2032
 X O OOX ;2033
XX O OOX ;2034
  XO OOX ;2035
X XO OOX ;2036
 XXO OOX ;2037
XXXO OOX ;2038
OXXO OOX ;2039
XOXO OOX ;2040
XXOO OOX ;2041
    XOOX ;2042
X   XOOX ;2043
O   XOOX ;2044
 X  XOOX ;2045
OX  XOOX ;2046
 O  XOOX ;2047
XO  XOOX ;2048
  X XOOX ;2049
O X XOOX ;2050
OXX XOOX ;2051
 OX XOOX ;2052
XOX XOOX ;2053
OOX XOOX ;2054
  O XOOX ;2055
X O XOOX ;2056
 XO XOOX ;2057
XXO XOOX ;2058
OXO XOOX ;2059
XOO XOOX ;2060
   XXOOX ;2061
O  XXOOX ;2062
OX XXOOX ;2063
 O XXOOX ;2064
XO XXOOX ;2065
OO XXOOX ;2066
O XXXOOX ;2067
 OXXXOOX ;2068
OOXXXOOX ;2069
  OXXOOX ;2070
X OXXOOX ;2071
O OXXOOX ;2072
 XOXXOOX ;2073
OXOXXOOX ;2074
 OOXXOOX ;2075
XOOXXOOX ;2076
   OXOOX ;2077
X  OXOOX ;2078
 X OXOOX ;2079
XX OXOOX ;2080
OX OXOOX ;2081
XO OXOOX ;2082
  XOXOOX ;2083
X XOXOOX ;2084
O XOXOOX ;2085
 XXOXOOX ;2086
OXXOXOOX ;2087
 OXOXOOX ;2088
XOXOXOOX ;2089
X OOXOOX ;2090
 XOOXOOX ;2091
XXOOXOOX ;2092
X   OOOX ;2093
 X  OOOX ;2094
XX  OOOX ;2095
  X OOOX ;2096
X X OOOX ;2097
 XX OOOX ;2098
XXX OOOX ;2099
OXX OOOX ;2100
XOX OOOX ;2101
XXO OOOX ;2102
   XOOOX ;2103
X  XOOOX ;2104
 X XOOOX ;2105
XX XOOOX ;2106
OX XOOOX ;2107
XO XOOOX ;2108
  XXOOOX ;2109
X XXOOOX ;2110
O XXOOOX ;2111
 XXXOOOX ;2112
OXXXOOOX ;2113
 OXXOOOX ;2114
XOXXOOOX ;2115
X OXOOOX ;2116
 XOXOOOX ;2117
XXOXOOOX ;2118
XX OOOOX ;2119
X XOOOOX ;2120
 XXOOOOX ;2121
XXXOOOOX ;2122
       O ;2123
X      O ;2124
 X     O ;2125
XX     O ;2126
OX     O ;2127
XO     O ;2128
  X    O ;2129
X X    O ;2130
O X    O ;2131
 XX    O ;2132
OXX    O ;2133
 OX    O ;2134
XOX    O ;2135
X O    O ;2136
 XO    O ;2137
XXO    O ;2138
   X   O ;2139
X  X   O ;2140
O  X   O ;2141
 X X   O ;2142
OX X   O ;2143
 O X   O ;2144
XO X   O ;2145
  XX   O ;2146
O XX   O ;2147
OXXX   O ;2148
 OXX   O ;2149
XOXX   O ;2150
OOXX   O ;2151
  OX   O ;2152
X OX   O ;2153
 XOX   O ;2154
XXOX   O ;2155
OXOX   O ;2156
XOOX   O ;2157
X  O   O ;2158
 X O   O ;2159
XX O   O ;2160
  XO   O ;2161
X XO   O ;2162
 XXO   O ;2163
XXXO   O ;2164
OXXO   O ;2165
XOXO   O ;2166
XXOO   O ;2167
    X  O ;2168
X   X  O ;2169
O   X  O ;2170
 X  X  O ;2171
OX  X  O ;2172
 O  X  O ;2173
XO  X  O ;2174
  X X  O ;2175
O X X  O ;2176
OXX X  O ;2177
 OX X  O ;2178
XOX X  O ;2179
OOX X  O ;2180
  O X  O ;2181
X O X  O ;2182
 XO X  O ;2183
XXO X  O ;2184
OXO X  O ;2185
XOO X  O ;2186
   XX  O ;2187
O  XX  O ;2188
OX XX  O ;2189
 O XX  O ;2190
XO XX  O ;2191
OO XX  O ;2192
O XXX  O ;2193
 OXXX  O ;2194
OOXXX  O ;2195
  OXX  O ;2196
X OXX  O ;2197
O OXX  O ;2198
 XOXX  O ;2199
OXOXX  O ;2200
 OOXX  O ;2201
XOOXX  O ;2202
   OX  O ;2203
X  OX  O ;2204
 X OX  O ;2205
XX OX  O ;2206
OX OX  O ;2207
XO OX  O ;2208
  XOX  O ;2209
X XOX  O ;2210
O XOX  O ;2211
 XXOX  O ;2212
OXXOX  O ;2213
 OXOX  O ;2214
XOXOX  O ;2215
X OOX  O ;2216
 XOOX  O ;2217
XXOOX  O ;2218
X   O  O ;2219
 X  O  O ;2220
XX  O  O ;2221
  X O  O ;2222
X X O  O ;2223
 XX O  O ;2224
XXX O  O ;2225
OXX O  O ;2226
XOX O  O ;2227
XXO O  O ;2228
   XO  O ;2229
X  XO  O ;2230
 X XO  O ;2231
XX XO  O ;2232
OX XO  O ;2233
XO XO  O ;2234
  XXO  O ;2235
X XXO  O ;2236
O XXO  O ;2237
 XXXO  O ;2238
OXXXO  O ;2239
 OXXO  O ;2240
XOXXO  O ;2241
X OXO  O ;2242
 XOXO  O ;2243
XXOXO  O ;2244
XX OO  O ;2245
X XOO  O ;2246
 XXOO  O ;2247
XXXOO  O ;2248
     X O ;2249
X    X O ;2250
O    X O ;2251
 X   X O ;2252
OX   X O ;2253
 O   X O ;2254
XO   X O ;2255
  X  X O ;2256
O X  X O ;2257
OXX  X O ;2258
 OX  X O ;2259
XOX  X O ;2260
OOX  X O ;2261
  O  X O ;2262
X O  X O ;2263
 XO  X O ;2264
XXO  X O ;2265
OXO  X O ;2266
XOO  X O ;2267
   X X O ;2268
O  X X O ;2269
OX X X O ;2270
 O X X O ;2271
XO X X O ;2272
OO X X O ;2273
O XX X O ;2274
 OXX X O ;2275
OOXX X O ;2276
  OX X O ;2277
X OX X O ;2278
O OX X O ;2279
 XOX X O ;2280
OXOX X O ;2281
 OOX X O ;2282
XOOX X O ;2283
   O X O ;2284
X  O X O ;2285
 X O X O ;2286
XX O X O ;2287
OX O X O ;2288
XO O X O ;2289
  XO X O ;2290
X XO X O ;2291
O XO X O ;2292
 XXO X O ;2293
OXXO X O ;2294
 OXO X O ;2295
XOXO X O ;2296
X OO X O ;2297
 XOO X O ;2298
XXOO X O ;2299
    XX O ;2300
O   XX O ;2301
OX  XX O ;2302
 O  XX O ;2303
XO  XX O ;2304
OO  XX O ;2305
O X XX O ;2306
 OX XX O ;2307
OOX XX O ;2308
  O XX O ;2309
X O XX O ;2310
O O XX O ;2311
 XO XX O ;2312
OXO XX O ;2313
 OO XX O ;2314
XOO XX O ;2315
O  XXX O ;2316
 O XXX O ;2317
OO XXX O ;2318
OOXXXX O ;2319
  OXXX O ;2320
O OXXX O ;2321
OXOXXX O ;2322
 OOXXX O ;2323
XOOXXX O ;2324
OOOXXX O ;2325
   OXX O ;2326
X  OXX O ;2327
O  OXX O ;2328
 X OXX O ;2329
OX OXX O ;2330
 O OXX O ;2331
XO OXX O ;2332
  XOXX O ;2333
O XOXX O ;2334
OXXOXX O ;2335
 OXOXX O ;2336
XOXOXX O ;2337
OOXOXX O ;2338
  OOXX O ;2339
X OOXX O ;2340
 XOOXX O ;2341
XXOOXX O ;2342
OXOOXX O ;2343
XOOOXX O ;2344
    OX O ;2345
X   OX O ;2346
 X  OX O ;2347
XX  OX O ;2348
OX  OX O ;2349
XO  OX O ;2350
  X OX O ;2351
X X OX O ;2352
O X OX O ;2353
 XX OX O ;2354
OXX OX O ;2355
 OX OX O ;2356
XOX OX O ;2357
X O OX O ;2358
 XO OX O ;2359
XXO OX O ;2360
   XOX O ;2361
X  XOX O ;2362
O  XOX O ;2363
 X XOX O ;2364
OX XOX O ;2365
 O XOX O ;2366
XO XOX O ;2367
  XXOX O ;2368
O XXOX O ;2369
OXXXOX O ;2370
 OXXOX O ;2371
XOXXOX O ;2372
OOXXOX O ;2373
  OXOX O ;2374
X OXOX O ;2375
 XOXOX O ;2376
XXOXOX O ;2377
OXOXOX O ;2378
XOOXOX O ;2379
X  OOX O ;2380
 X OOX O ;2381
XX OOX O ;2382
  XOOX O ;2383
X XOOX O ;2384
 XXOOX O ;2385
XXXOOX O ;2386
OXXOOX O ;2387
XOXOOX O ;2388
XXOOOX O ;2389
X    O O ;2390
 X   O O ;2391
XX   O O ;2392
  X  O O ;2393
X X  O O ;2394
 XX  O O ;2395
XXX  O O ;2396
OXX  O O ;2397
XOX  O O ;2398
XXO  O O ;2399
   X O O ;2400
X  X O O ;2401
 X X O O ;2402
XX X O O ;2403
OX X O O ;2404
XO X O O ;2405
  XX O O ;2406
X XX O O ;2407
O XX O O ;2408
 XXX O O ;2409
OXXX O O ;2410
 OXX O O ;2411
XOXX O O ;2412
X OX O O ;2413
 XOX O O ;2414
XXOX O O ;2415
XX O O O ;2416
X XO O O ;2417
 XXO O O ;2418
XXXO O O ;2419
    XO O ;2420
X   XO O ;2421
 X  XO O ;2422
XX  XO O ;2423
OX  XO O ;2424
XO  XO O ;2425
  X XO O ;2426
X X XO O ;2427
O X XO O ;2428
 XX XO O ;2429
OXX XO O ;2430
 OX XO O ;2431
XOX XO O ;2432
X O XO O ;2433
 XO XO O ;2434
XXO XO O ;2435
   XXO O ;2436
X  XXO O ;2437
O  XXO O ;2438
 X XXO O ;2439
OX XXO O ;2440
 O XXO O ;2441
XO XXO O ;2442
  XXXO O ;2443
O XXXO O ;2444
OXXXXO O ;2445
 OXXXO O ;2446
XOXXXO O ;2447
OOXXXO O ;2448
  OXXO O ;2449
X OXXO O ;2450
 XOXXO O ;2451
XXOXXO O ;2452
OXOXXO O ;2453
XOOXXO O ;2454
X  OXO O ;2455
 X OXO O ;2456
XX OXO O ;2457
  XOXO O ;2458
X XOXO O ;2459
 XXOXO O ;2460
XXXOXO O ;2461
OXXOXO O ;2462
XOXOXO O ;2463
XXOOXO O ;2464
XX  OO O ;2465
X X OO O ;2466
 XX OO O ;2467
XXX OO O ;2468
X  XOO O ;2469
 X XOO O ;2470
XX XOO O ;2471
  XXOO O ;2472
X XXOO O ;2473
 XXXOO O ;2474
XXXXOO O ;2475
OXXXOO O ;2476
XOXXOO O ;2477
XXOXOO O ;2478
XXXOOO O ;2479
      XO ;2480
X     XO ;2481
O     XO ;2482
 X    XO ;2483
OX    XO ;2484
 O    XO ;2485
XO    XO ;2486
  X   XO ;2487
O X   XO ;2488
OXX   XO ;2489
 OX   XO ;2490
XOX   XO ;2491
OOX   XO ;2492
  O   XO ;2493
X O   XO ;2494
 XO   XO ;2495
XXO   XO ;2496
OXO   XO ;2497
XOO   XO ;2498
   X  XO ;2499
O  X  XO ;2500
OX X  XO ;2501
 O X  XO ;2502
XO X  XO ;2503
OO X  XO ;2504
O XX  XO ;2505
 OXX  XO ;2506
OOXX  XO ;2507
  OX  XO ;2508
X OX  XO ;2509
O OX  XO ;2510
 XOX  XO ;2511
OXOX  XO ;2512
 OOX  XO ;2513
XOOX  XO ;2514
   O  XO ;2515
X  O  XO ;2516
 X O  XO ;2517
XX O  XO ;2518
OX O  XO ;2519
XO O  XO ;2520
  XO  XO ;2521
X XO  XO ;2522
O XO  XO ;2523
 XXO  XO ;2524
OXXO  XO ;2525
 OXO  XO ;2526
XOXO  XO ;2527
X OO  XO ;2528
 XOO  XO ;2529
XXOO  XO ;2530
    X XO ;2531
O   X XO ;2532
OX  X XO ;2533
 O  X XO ;2534
XO  X XO ;2535
OO  X XO ;2536
O X X XO ;2537
 OX X XO ;2538
OOX X XO ;2539
  O X XO ;2540
X O X XO ;2541
O O X XO ;2542
 XO X XO ;2543
OXO X XO ;2544
 OO X XO ;2545
XOO X XO ;2546
O  XX XO ;2547
 O XX XO ;2548
OO XX XO ;2549
OOXXX XO ;2550
  OXX XO ;2551
O OXX XO ;2552
OXOXX XO ;2553
 OOXX XO ;2554
XOOXX XO ;2555
OOOXX XO ;2556
   OX XO ;2557
X  OX XO ;2558
O  OX XO ;2559
 X OX XO ;2560
OX OX XO ;2561
 O OX XO ;2562
XO OX XO ;2563
  XOX XO ;2564
O XOX XO ;2565
OXXOX XO ;2566
 OXOX XO ;2567
XOXOX XO ;2568
OOXOX XO ;2569
  OOX XO ;2570
X OOX XO ;2571
 XOOX XO ;2572
XXOOX XO ;2573
OXOOX XO ;2574
XOOOX XO ;2575
    O XO ;2576
X   O XO ;2577
 X  O XO ;2578
XX  O XO ;2579
OX  O XO ;2580
XO  O XO ;2581
  X O XO ;2582
X X O XO ;2583
O X O XO ;2584
 XX O XO ;2585
OXX O XO ;2586
 OX O XO ;2587
XOX O XO ;2588
X O O XO ;2589
 XO O XO ;2590
XXO O XO ;2591
   XO XO ;2592
X  XO XO ;2593
O  XO XO ;2594
 X XO XO ;2595
OX XO XO ;2596
 O XO XO ;2597
XO XO XO ;2598
